loadable,snapshot_date,source_commit,profiles,source,status,baseline_coverage,limited,evidence,coverage_scope,sanitizer_evidence,fuzz_evidence,companion_loadables,busybox_applet,busybox_availability,external_program,external_availability,comparison_scope,metric_kind,work_unit,benchmark_cases,selected_case,fixture,builtin_command,external_command,passes,timed_samples,bashos_result,bashos_ms,busybox_ms,external_ms,bashos_over_external,priority,next_work,notes
diff,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/diff.c,Bench checked,Build/help,False,,,,,,diff,available,diff,available,Same-name candidate; only measured arguments are compared.,compared,,diff,diff,empty,diff text copy,diff text copy,24,7,ok,53.559,45.836,30.127,1.7778,P3,"Confirm diff (1.78× external time), then profile.","Minus operands are stdin, including `diff - -`. The timed case still measures identical files, not edit-script generation."
dirname,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/dirname.c,Bench checked,Build/help,False,,,,,,dirname,available,dirname,available,Same-name candidate; only measured arguments are compared.,compared,,dirname,dirname,empty,dirname /fixture/path/file.txt,dirname /fixture/path/file.txt,118,7,ok,4.278,89.054,80.979,0.0528,P4,Extend sizes/options; no selected-case performance priority.,
dmesg,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/dmesg.c,Bench checked,Build/help,False,,,,,,dmesg,available,dmesg,available,Same-name candidate; only measured arguments are compared.,self-timed,"524,288 bytes of /dev/kmsg records read in 8192-byte chunks; 4096 records decoded (priority/seq/us/flag plus text) and re-emitted with the monotonic timestamp column / 4096 lines, 516,443 bytes",dmesg-kmsgfixture,dmesg-kmsgfixture,empty,dmesg,dmesg,21,7,ok,67.456,,,,P3,Carry the partial record across reads instead of dropping it.,"On the BASHDMESG_DEV_KMSG_FILE path, bd_drain() reads into a fixed 8192-byte buffer and silently truncates or drops a record that straddles the boundary."
dmsetup,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/dmsetup.c,Smoke,Smoke,True,tests/util-linux-smoke.sh,Selected queries or temporary-file operations; device mutation is not validated.,,,,,n/a,dmsetup,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,Define required mapper mutation verbs and add isolated device fixtures.,Some mutation verbs still return an explicit unimplemented-backend error.
dns,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/dns.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,nslookup,available,dig / drill,adapter,Normalize DNS answers and control the resolver.,self-timed,"1002178 B master file tokenized and 27006 resource records validated (owner-name, label and RR-type checks plus owner tracking)",dns-checkzone,dns-checkzone,empty,dns checkzone -o fixture.test. zone,dns checkzone -o fixture.test. zone,3,7,ok,202.979,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
doas,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/doas.c,Negative checks,Negative checks,False,tests/final-smoke.py,Invalid options are rejected before authentication or credential changes.,tests/final-sanitize.sh,,sudo,,n/a,doas,missing,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,Add credential-transition and policy fixtures before benchmarking authentication.,Current integration test rejects an invalid option before credential transition.
du,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/du.c,Bench checked,Build/help,False,,,,,,du,available,du,available,Same-name candidate; only measured arguments are compared.,compared,,du-file;du-tree,du-tree,empty,du -b tree,du -b tree,80,7,ok,21.473,,78.546,0.2734,P4,Extend sizes/options; no selected-case performance priority.,A failed size-report write now returns failure; tests/du-check.sh covers du -b file > /dev/full.
ed,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/ed.c,Bench checked,Build/help,False,,,,,,ed,available,ed,missing,Same-name candidate; only measured arguments are compared.,compared,,ed,ed,edscript,ed -s left,ed -s left,54,7,ok,50.03,94.375,,,P4,Extend sizes/options; no selected-case performance priority.,
env,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/env.c,Contract,Contract,False,tests/regressions.py;tests/rootfs-smoke.sh,"Repeated calls, literal arguments, process isolation and file-state regressions.; Static binary in an isolated root filesystem; fixture paths only.",,,,env,available,env,available,Same-name candidate; only measured arguments are compared.,compared,,env,env,empty,env -i FOO=bar /usr/bin/printenv FOO,env -i FOO=bar /usr/bin/printenv FOO,72,7,ok,41.177,82.037,66.746,0.6169,P4,Extend sizes/options; no selected-case performance priority.,
escdelay,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/escdelay.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,,,n/a,,n/a,Terminal timeout state API.,self-timed,"8 maximum-length (63-character) screen names = 504 characters through bsd_valid_screen_name(), then one five-level ESC-delay precedence resolution on an empty per-screen table (per-screen env name built and missed, zero-entry table scan, global env missed, unset global, default 50) and one line printed",escdelay,escdelay,empty,escdelay get --screen bench_screen_00_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_01_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_02_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_03_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_04_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_05_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_06_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_07_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,escdelay get --screen bench_screen_00_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_01_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_02_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_03_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_04_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_05_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_06_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx --screen bench_screen_07_xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,117,7,ok,4.538,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
expand,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/expand.c,Parity,Parity,True,tests/expand-parity.py;tests/text-tools-parity.sh;tests/input-lifetime.py,"Tab stops, initial-only expansion, binary/control bytes, multiple files, repeated stdin, output errors and recovery.; Small host-comparison fixtures; this is not complete CLI conformance.; Mixed-reader integration across native and RISC-V musl: fresh redirects, file operands, empty input and descriptor ownership; shared GNU byte cases only.",tests/expand-sanitize.sh,,,expand,available,expand,available,Same-name candidate; only measured arguments are compared.,compared,,expand,expand,tabs,expand -t 8,expand -t 8,38,7,ok,62.889,318.8,85.473,0.7358,P3,Decide required option scope; see limitations.,Buffered output and per-invocation input are validated. Documented option/tab-stop differences and locale scope remain; tiny-input speedup is not established.
expect,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/expect.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,,,n/a,expect,missing,Same-name candidate; only measured arguments are compared.,self-timed,"60,160 bytes consumed from a stream in 256-byte reads with a fresh regcomp and regexec over the whole accumulated buffer after every read: 235 match rounds, about 7 MB scanned, 60 KB mirrored to stdout",expect,expect,left,expect expect 0 '^004999 left$',expect expect 0 '^004999 left$',3,7,ok,144.904,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
expr,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/expr.c,Parity,Parity,False,tests/text-tools-parity.sh,Small host-comparison fixtures; this is not complete CLI conformance.,,,,expr,available,expr,available,Same-name candidate; only measured arguments are compared.,compared,,expr,expr,empty,expr 123 '*' 456,expr 123 '*' 456,99,7,ok,3.517,74.861,66.925,0.0526,P4,Extend sizes/options; no selected-case performance priority.,
fail2ban,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/fail2ban.c,Contract,Contract,False,tests/network-smoke.py,"Private files, packet/parser fixtures and loopback connections.",,,,,n/a,fail2ban-client,missing,Subset and private policy store; not a direct CLI drop-in.,self-timed,"20000 ban records (719683 B) parsed, 5000 sshd rows selected and joined into a 71341 B status block",fail2ban-format-status,fail2ban-format-status,empty,fail2ban format-status ban.db sshd,fail2ban format-status ban.db sshd,22,7,ok,67.854,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
fdflags,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,Bash examples/loadables/fdflags.c,Bench checked,Build/help,False,,,,,,,n/a,Python fcntl,adapter,Descriptor flag API; do not time an unrelated CLI.,self-timed,"one full descriptor-table scan per pass: getmaxfd() probes fcntl(fd,F_GETFD) downward from RLIMIT_NOFILE (524,288 on this host, so ~524,284 failing fcntls) then prints a verbose flag line for every fd below the highest open one",fdflags-scan,fdflags-scan,empty,fdflags -v,fdflags -v,3,7,ok,175.166,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
fdisk,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/fdisk.c,Contract,Contract,False,tests/large-smoke.py,"Private images, files, loopback services or tool-specific fixtures.",tests/large-sanitize.sh,,,fdisk,available,fdisk,available,Same-name candidate; only measured arguments are compared.,self-timed,"one 512-byte MBR probe, the 512-byte GPT header and the whole 16 KiB 128-entry partition array in one pread, two CRC32 passes (92-byte header, 16 KiB array), 134 formatted lines / 15,587 bytes",fdisk-list;fdisk-verify,fdisk-list,empty,fdisk -l parts.img,fdisk -l parts.img,99,7,ok,22.054,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
fifo,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/fifo.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,,,n/a,,n/a,"In-memory input queue, not mkfifo.",none,,,,,,,,,unmeasured,,,,,P3,"Define an API workload and metric, then measure.",
file,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/file.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,,n/a,file,available,Same-name candidate; only measured arguments are compared.,compared,,file,file,empty,file text,file text,103,7,ok,4.226,,930.774,0.0045,P4,Extend sizes/options; no selected-case performance priority.,
fincore,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/fincore.c,Smoke,Smoke,False,tests/util-linux-smoke.sh,Selected queries or temporary-file operations; device mutation is not validated.,,,,,n/a,fincore,available,Same-name candidate; only measured arguments are compared.,compared,,fincore,fincore,empty,fincore -n text,fincore -n --bytes text,131,7,ok,6.363,,95.14,0.0669,P4,Extend sizes/options; no selected-case performance priority.,
find,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/find.c,Contract,Contract,False,tests/regressions.py;tests/rootfs-smoke.sh,"Repeated calls, literal arguments, process isolation and file-state regressions.; Static binary in an isolated root filesystem; fixture paths only.",,,,find,available,find,available,Same-name candidate; only measured arguments are compared.,compared,,find,find,empty,find tree -type f,find tree -type f,80,7,ok,23.972,91.591,84.618,0.2833,P4,Extend sizes/options; no selected-case performance priority.,
finfo,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,Bash examples/loadables/finfo.c,Bench checked,Build/help,False,,,,,,stat,available,stat,available,Adapt requested attributes and formatting.,compared,,finfo;finfo-mode,finfo-mode,empty,finfo -o text,stat -c %a text,106,7,ok,4.192,78.26,86.951,0.0482,P4,Extend sizes/options; no selected-case performance priority.,
flock,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/flock.c,Smoke,Smoke,False,tests/util-linux-smoke.sh,Selected queries or temporary-file operations; device mutation is not validated.,,,,,n/a,flock,available,Same-name candidate; only measured arguments are compared.,compared,,flock,flock,empty,flock -n lockfile /bin/true,flock -n lockfile /bin/true,77,7,ok,41.694,,76.57,0.5445,P4,Extend sizes/options; no selected-case performance priority.,
fltexpr,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,Bash examples/loadables/fltexpr.c,Bench checked,Build/help,False,,,,,,awk,available,awk / bc,adapter,Define numeric precision and operation before comparing.,compared,,fltexpr,fltexpr,empty,fltexpr -p '1+2*3',awk 'BEGIN{print 1+2*3}',129,7,ok,4.054,98.425,179.773,0.0226,P4,Extend sizes/options; no selected-case performance priority.,
fold,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/fold.c,Parity,Parity,True,tests/fold-parity.py;tests/input-lifetime.py,"Byte/character/space modes, binary and mixed UTF-8 input, long records, repeated input and output errors; decoder scope is documented.; Mixed-reader integration across native and RISC-V musl: fresh redirects, file operands, empty input and descriptor ownership; shared GNU byte cases only.",tests/fold-sanitize.sh,,,fold,available,fold,available,Same-name candidate; only measured arguments are compared.,compared,,fold,fold,text,fold -w 40,fold -w 40,36,7,ok,40.912,152.66,94.866,0.4313,P3,Decide required option scope; see limitations.,Buffered ASCII processing is validated; the existing permissive UTF-8 decoder and short-input fread lookahead behavior remain. Unicode and appliance throughput are not established.
free,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/free.c,Bench checked,Build/help,False,,,,,,free,available,free,available,Same-name candidate; only measured arguments are compared.,self-timed,"one 1,564-byte 50-key meminfo opened and parsed; three formatted rows / 207 bytes emitted",free-procfixture,free-procfixture,empty,free -k,free -k,141,7,ok,4.362,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.","Measured against a pinned /proc via BASHOS_PROC_ROOT, self-timed: the live counters move between the reference call and the repeated batch, so a live ratio could only ever fail. tests/free-check.sh holds the GNU parity."
fsck,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/fsck.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,,n/a,fsck,available,Same-name candidate; only measured arguments are compared.,self-timed,"the 1024-byte ext2 superblock at offset 1024 of the 8 MiB disk.img read and decoded, the sanity battery over block size, blocks and inodes per group, inode size, group-count consistency and errors-behaviour, variant classification, one 47-byte line",fsck,fsck,empty,fsck -n disk.img,fsck -n disk.img,135,7,ok,4.728,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
fsfreeze,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/fsfreeze.c,Build/help,Build/help,False,,,,,,fsfreeze,available,fsfreeze,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
fstrim,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/fstrim.c,Bench checked,Build/help,False,,,,,,fstrim,available,fstrim,available,Same-name candidate; only measured arguments are compared.,self-timed,"10,000 fstab-shaped lines parsed from the left fixture, 10,000 stat() calls and 10,000 lines / 280,000 bytes printed",fstrim,fstrim,empty,fstrim -n -I left,fstrim -n -I left,6,7,ok,60.86,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.","`-I/--listed-in` reports, and would trim, any path in the list file that merely stat()s; util-linux cross-checks each entry against the live mount table and reports only mounted filesystems. This is why the case is self-timed: there is no output to compare against util-linux, which exits non-zero on the same input."
fw,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/fw.c,Contract,Contract,False,tests/large-smoke.py,"Private images, files, loopback services or tool-specific fixtures.",,,,,n/a,nft / iptables,adapter,Backend-dependent firewall control; use a network namespace.,self-timed,3000 batch rule lines (138147 B) parsed and translated into 3000 nft argv lines (252120 B),fw-batch-dryrun,fw-batch-dryrun,empty,fw -B nft -n batch fw.batch,fw -B nft -n batch fw.batch,11,7,ok,85.912,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
genl,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/genl.c,Bench checked,Build/help,False,,,,,,,n/a,,n/a,Generic netlink API; subsystem-specific fixtures needed.,self-timed,"one CTRL_CMD_GETFAMILY dump over NETLINK_GENERIC: every registered generic-netlink family walked with its op table, capability bitmaps and multicast groups, and the whole table formatted",genl-ctrl-list,genl-ctrl-list,empty,genl ctrl list,genl ctrl list,80,7,ok,34.018,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
getconf,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,Bash examples/loadables/getconf.c,Bench checked,Build/help,False,,,,,,,n/a,getconf,available,Same-name candidate; only measured arguments are compared.,compared,,getconf;getconf-nproc,getconf,empty,getconf PAGE_SIZE,getconf PAGE_SIZE,132,7,ok,4.359,,78.629,0.0554,P4,Extend sizes/options; no selected-case performance priority.,
getfacl,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/getfacl.c,Smoke,Smoke,False,tests/util-linux-smoke.sh,Selected queries or temporary-file operations; device mutation is not validated.,,,,,n/a,getfacl,missing,Same-name candidate; only measured arguments are compared.,self-timed,"32 files per pass: lstat + getpwuid + getgrgid + getxattr each; 16 of them decode a 6-entry system.posix_acl_access blob and 16 synthesise base entries from the mode; 3,120 bytes of output per pass",getfacl,getfacl,empty,getfacl acls/f00 acls/f01 acls/f02 acls/f03 acls/f04 acls/f05 acls/f06 acls/f07 acls/f08 acls/f09 acls/f10 acls/f11 acls/f12 acls/f13 acls/f14 acls/f15 acls/f16 acls/f17 acls/f18 acls/f19 acls/f20 acls/f21 acls/f22 acls/f23 acls/f24 acls/f25 acls/f26 acls/f27 acls/f28 acls/f29 acls/f30 acls/f31,getfacl acls/f00 acls/f01 acls/f02 acls/f03 acls/f04 acls/f05 acls/f06 acls/f07 acls/f08 acls/f09 acls/f10 acls/f11 acls/f12 acls/f13 acls/f14 acls/f15 acls/f16 acls/f17 acls/f18 acls/f19 acls/f20 acls/f21 acls/f22 acls/f23 acls/f24 acls/f25 acls/f26 acls/f27 acls/f28 acls/f29 acls/f30 acls/f31,54,7,ok,54.144,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
gpu,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/gpu.c,Contract,Contract,False,tests/gpu-smoke.py,"Pixel output, protocol, input and cleanup; native driver checks are conditional.",tests/gpu-sanitize.sh,,,,n/a,,n/a,Persistent canvas/presenter; use frame and transport metrics.,self-timed,"a 640x480 headless canvas rasterized in the per-pass reset (clear, filled circle r=200, stroked rect, scaled 3x5 text, 2px diagonal line over 307,200 pixels), then those 307,200 pixels packed and written as a 921,615-byte binary PPM by the measured command",gpu,gpu,empty,gpu save frame.ppm,gpu save frame.ppm,30,7,ok,58.201,,,,P3,Measure application frame latency and driver behavior on the intended device.,"CPU/protocol, native driver and isolated Kilix checks exist. Static builds support CPU presentation; native shaders require dynamic linking."
grep,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/grep.c,Parity,Parity,True,tests/grep-parity.sh;tests/host-smoke.sh;tests/rootfs-smoke.sh,"Dedicated comparison suite; only the tested options and fixtures are covered.; Basic file, pipe or archive behavior with an empty PATH.; Static binary in an isolated root filesystem; fixture paths only.",tests/grep-host.c,,,grep,available,grep,available,Same-name candidate; only measured arguments are compared.,compared,,grep-count;grep-lines,grep-lines,text,grep alpha,grep alpha,57,7,ok,55.156,400.84,48.656,1.1336,P3,Decide required option scope; see limitations.,Default build disables -P; the separate pcre loadable supplies PCRE2 operations. See the source build switch.
halt,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/halt.c,Build/help,Build/help,False,,,,,,halt,available,halt,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
head,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/head.c,Parity,Parity,True,tests/head-sed-parity.py;tests/rootfs-smoke.sh;tests/input-lifetime.py,"Persistent redirections and mixed input; head consumption boundaries, sed commands and final-newline preservation; documented GNU differences remain.; Static binary in an isolated root filesystem; fixture paths only.; Mixed-reader integration across native and RISC-V musl: fresh redirects, file operands, empty input and descriptor ownership; shared GNU byte cases only.",tests/head-sed-sanitize.sh,,,head,available,head,available,Same-name candidate; only measured arguments are compared.,compared,,head,head,text,head -n 100,head -n 100,78,7,ok,8.272,58.363,49.007,0.1688,P3,Decide required option scope; see limitations.,Repeated stdin is fixed. The stock Bash option subset remains; private streams restore seekable read-ahead and use unbuffered pipe input.
hexdump,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/hexdump.c,Parity,Parity,False,tests/text-tools-parity.sh,Small host-comparison fixtures; this is not complete CLI conformance.,,,,hexdump,available,hexdump,available,Same-name candidate; only measured arguments are compared.,compared,,hexdump,hexdump,bytes,hexdump -C,hexdump -C,11,7,ok,73.849,90.759,132.514,0.5573,P4,Extend sizes/options; no selected-case performance priority.,Repeated redirected stdin is fixed; tests/hexdump-check.sh matches GNU on three fresh redirections.
hl,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/hl.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,ts,,n/a,highlight,missing,Grammar/output differ; compare equivalent highlight spans.,self-timed,"39,133 bytes of JSON highlighted: parse plus curated highlight query (10,005 captures) plus inline SGR rendering to 129,160 bytes",hl,hl,object,hl -L json,hl -L json,3,7,ok,90.435,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
hostid,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/hostid.c,Bench checked,Build/help,False,,,,,,hostid,available,hostid,available,Same-name candidate; only measured arguments are compared.,compared,,hostid,hostid,empty,hostid,hostid,149,7,ok,6.459,125.787,102.292,0.0631,P4,Extend sizes/options; no selected-case performance priority.,"Default is gethostid(3), matching hostid(1), including on this measured full binary. tests/hostid-check.sh covers override files and the machine-id fallback."
hostname,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/hostname.c,Contract,Contract,False,tests/rootfs-smoke.sh,Static binary in an isolated root filesystem; fixture paths only.,,,,hostname,available,hostname,available,Same-name candidate; only measured arguments are compared.,compared,,hostname;hostname-s,hostname-s,empty,hostname -s,hostname -s,105,7,ok,3.781,81.15,65.586,0.0576,P4,Extend sizes/options; no selected-case performance priority.,
http,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/http.c,Contract,Contract,False,tests/network-smoke.py,"Private files, packet/parser fixtures and loopback connections.",,,,wget,available,curl,available,"Match request, connection reuse and response body.",self-timed,"423105 B response file slurped, header block scanned for the CRLFCRLF that ends it 105 bytes in (so the 16 KiB header cap is never reached), 423000 B body written to the destination file",http-response-body,http-response-body,empty,http response-body httpresp -o bodyout,http response-body httpresp -o bodyout,67,7,ok,13.083,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
httpd,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/httpd.c,Contract,Contract,False,tests/httpd-host.c,Local HTTP protocol and timeout/error contracts.,tests/run.sh,,,httpd,available,HTTP server fixture,adapter,Request/reply primitive; adapt server setup and connection policy.,self-timed,"1028229 B multipart body scanned, 200 part headers parsed, the 5000 B part 200 written to partout",httpd-part,httpd-part,empty,httpd part multipart -b bashos0boundary0fixture -o partout -n field199,httpd part multipart -b bashos0boundary0fixture -o partout -n field199,72,7,ok,21.646,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
hwclock,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/hwclock.c,Build/help,Build/help,False,,,,,,hwclock,available,hwclock,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
id,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/id.c,Contract,Contract,False,tests/rootfs-smoke.sh,Static binary in an isolated root filesystem; fixture paths only.,,,,id,available,id,available,Same-name candidate; only measured arguments are compared.,compared,,id-group;id-uid;id-user,id-user,empty,id -un,id -un,108,7,ok,5.229,89.174,90.46,0.0578,P4,Extend sizes/options; no selected-case performance priority.,
index,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/index.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,git update-index,adapter,Git index API; compare equivalent index operations.,compared,1760032-byte git index v2 with 20000 entries parsed; 20000 '<mode> <sha> <stage> <path>' lines / 1440000 bytes / 80000 fields emitted,index-read,index-read,empty,index read indexrepo/.git/index,git -C indexrepo ls-files --stage,5,7,ok,78.713,,40.886,1.9252,P3,"Confirm index-read (1.93× external time), then profile.",
integrity,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/integrity.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,,n/a,Project integrity policy API; measure a defined verification workload.,self-timed,"fd-pinned walk of 258 files (~1.11 MB: 1 MiB blob + 64 KiB bytes + 256 x 8 B in tree/) hashed twice, SHA-256 and BLAKE2b, plus 258 fstatats; 258 manifest-v2 rows / 66805 bytes out",integrity-manifest,integrity-manifest,empty,integrity emit-manifest --no-header --root . -- /blob /bytes /tree,integrity emit-manifest --no-header --root . -- /blob /bytes /tree,8,7,ok,87.463,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
